Serial,RAhour,RAminutes,RAseconds,RA,DECsign,DECdegrees,DECminutes,DECseconds,DEC,Vmag,PropermotionRA,PropermotionDEC
 222,00,48,23.0,0.8063888888888889,+,05,16,50,5.280555555555556, 5.75,+0.758,-1.146
 223,00,48,50.1,0.8139166666666667,+,50,58,06,50.968333333333334, 4.89,+0.035,-0.006
 224,00,48,41.0,0.8113888888888889,+,07,35,06,7.585, 4.43,+0.085,-0.052
 225,00,48,58.7,0.8163055555555556,+,16,56,26,16.940555555555555, 5.07,-0.003,-0.204
 226,00,49,48.8,0.8302222222222222,+,41,04,44,41.07888888888889, 4.53,+0.023,-0.019
 227,00,49,25.6,0.8237777777777777,-,13,33,41,-13.561388888888889, 5.59,+0.105,-0.104
 228,00,49,13.9,0.8205277777777777,-,24,08,11,-24.136388888888888, 5.90,+0.078,-0.051
 229,00,48,56.7,0.8157500000000001,-,46,41,52,-46.69777777777778, 6.27,-0.008,+0.017
 230,00,49,52.8,0.8313333333333334,+,27,42,39,27.710833333333333, 7.0 ,+0.084,-0.010
 231,00,49,53.2,0.8314444444444444,+,27,42,37,27.710277777777776, 7.1 ,+0.091,-0.009
 232,00,49,33.4,0.8259444444444445,-,23,21,42,-23.361666666666668, 6.28,-0.008, 0.000
 233,00,50,43.6,0.8454444444444444,+,64,14,51,64.2475, 5.39,+0.030,-0.012
 234,00,50,18.3,0.8384166666666667,+,45,00,08,45.00222222222222, 6.15,+0.065,+0.006
 235,00,50,07.6,0.8354444444444444,-,10,38,40,-10.644444444444444, 5.19,-0.226,-0.229
 236,00,48,35.4,0.8098333333333334,-,74,55,24,-74.92333333333333, 5.07,+0.130,-0.033
 237,00,51,16.4,0.8545555555555555,+,61,48,21,61.80583333333333, 6.07,-0.002,+0.006
 238,00,50,57.4,0.8492777777777778,+,51,30,29,51.50805555555556, 6.39,+0.135,-0.003
 239,00,50,03.7,0.8343611111111111,-,43,23,41,-43.39472222222222, 6.48,+0.011,+0.016
 240,00,54,53.1,0.9147500000000001,+,83,42,26,83.70722222222223, 5.62,+0.062,-0.022
 241,00,51,33.7,0.8593611111111111,+,51,34,16,51.57111111111111, 6.21,-0.010,-0.019
 242,00,50,41.2,0.8447777777777778,-,50,59,13,-50.98694444444445, 5.22,+0.067,+0.039
 243,00,51,18.3,0.8550833333333333,+,03,23,06,3.385, 6.37,+0.016,-0.067
 244,00,53,04.1,0.8844722222222222,+,61,07,27,61.12416666666667, 4.82,-0.071,+0.172
 245,00,51,52.1,0.8644722222222222,-,43,42,33,-43.70916666666667, 6.90,+0.025,-0.013
 246,00,52,53.4,0.8815000000000001,+,38,32,55,38.548611111111114, 6.69,+0.029,-0.021
 247,00,52,40.6,0.8779444444444445,-,24,00,21,-24.00583333333333, 5.46,+0.035,+0.035
 248,00,53,00.5,0.8834722222222222,-,01,08,39,-1.1441666666666666, 4.77,+0.008,-0.017
 249,00,53,28.2,0.8911666666666667,+,37,25,05,37.418055555555554, 6.06,+0.013,-0.046
 250,00,53,47.6,0.8965555555555556,+,52,41,21,52.689166666666665, 6.27,+0.076,-0.026
 251,00,53,12.4,0.8867777777777778,-,24,46,37,-24.776944444444446, 6.46,+0.098,+0.037
 252,00,52,24.3,0.8734166666666667,-,69,30,16,-69.50444444444445, 6.22,-0.007,-0.086
 253,00,55,00.1,0.9166944444444444,+,58,58,22,58.97277777777778, 4.83,-0.032,-0.043
 254,00,54,35.2,0.9097777777777778,+,19,11,18,19.188333333333333, 5.74,+0.018,-0.014
 255,00,54,17.6,0.904888888888889,-,08,44,27,-8.740833333333333, 6.16,+0.018,-0.052
 256,00,55,05.2,0.9181111111111111,+,48,40,43,48.67861111111111, 6.27,-0.022,-0.006
 257,00,53,37.9,0.8938611111111111,-,62,52,17,-62.87138888888889, 5.70,+0.073,+0.004
 258,00,54,58.0,0.9161111111111111,+,23,37,42,23.628333333333334, 5.47,+0.131,-0.031
 259,00,55,14.7,0.92075,+,24,33,25,24.556944444444444, 6.20,+0.020,-0.015
 260,00,56,12.9,0.9369166666666667,+,57,59,48,57.99666666666667, 6.21,+0.037,-0.014
 261,00,56,55.6,0.9487777777777778,+,68,46,34,68.7761111111111, 6.37,+0.137,-0.021
 262,00,55,58.5,0.9329166666666666,+,27,12,34,27.209444444444443, 6.09,-0.020,+0.013
 263,00,55,42.4,0.9284444444444444,-,07,20,50,-7.347222222222222, 5.85,-0.007,-0.046
 264,00,56,42.5,0.9451388888888889,+,60,43,00,60.71666666666667, 2.47,+0.026,-0.005
 265,00,56,39.8,0.9443888888888889,+,59,10,52,59.181111111111115, 4.63,-0.092,-0.046
 266,00,56,47.1,0.9464166666666667,+,60,21,46,60.36277777777778, 5.55,+0.032,-0.008
 267,00,56,01.5,0.93375,-,11,16,00,-11.266666666666667, 5.31,-0.020,-0.008
 268,00,55,55.5,0.9320833333333333,-,27,46,32,-27.775555555555556, 6.10, 0.000,+0.002
 269,00,56,45.2,0.9458888888888889,+,38,29,58,38.49944444444444, 3.87,+0.152,+0.033
